source,target
"Несмотря на сложность и драматичность отношений России и Кавказа, на протяжении двух веков развивались их культурные связи и взаимовлияния. ","Несмотря на сложность и драматичность отношений России и Кавказа, на протяжении двух веков развивались их культурные связи и взаимовлияния. "
"Тургенева «Спасское-Лутовиново», музей-заповедник А.Н. ","Тургенева «Спасское-Лутовиново», музей-заповедник А.Н. "
"«Катюша» была написана в год, когда в обществе стала актуальной тема защиты Родины, охраны её границ. ","«Катюша» была написана в год, когда в обществе стала актуальной тема защиты Родины, охраны ее границ. "
"В ХIX – начале ХХ в. дворяне, бояре, купцы в дорогих шубах часто изображались на картинах русских художников. ","В ХIX – начале ХХ в. дворяне, бояре, купцы в дорогих шубах часто изображались на картинах русских художников. "
"Стали фразеологизмами выражения: лошадиная фамилия (так говорят о фамилии или другом слове, когда пытаются вспомнить их по ассоциациям, – как персонаж рассказа «Лошадиная фамилия» пытался вспомнить фамилию Овсов, связанную с названием основного корма лошадей – овса); двадцать два несчастья (о людях, на которых неизменно обрушиваются несчастья).","Стали фразеологизмами выражения: лошадиная фамилия (так говорят о фамилии или другом слове, когда пытаются вспомнить их по ассоциациям, – так персонаж рассказа «Лошадиная фамилия» пытался вспомнить фамилию Овсов, связанную с названием основного корма лошадей – овса); человек в футляре – тот, кто боится всего нового, любых перемен. "
В 2014 г. в Москве у МХАТа был установлен памятник Станиславскому и Немировичу-Данченко (скульптор – А.В. ,В 2014 г. в Москве у МХАТа был установлен памятник Станиславскому и Немировичу-Данченко (скульптор – А.В. 
"Есениным («Пугачев», «Русь уходящая»), А.Т. ","Есениным («Пугачев», «Русь уходящая»), А.Т. "
"Перегородка с рядами икон (см. икона), отделяющая алтарь от основной части православного (см. православие) храма (от греческого eicon – «образ, изображение»; stasis – «место стояния»). ","Перегородка с рядами икон (см. икона), которая отделяет алтарь от основной части православного (православие) храма (от греческого eicon – «образ, изображение»; stasis – «место стояния»)."
"Имя Ломоносова носят Московский государственный университет, город в Ленинградской области (до 1948 г. – Ораниенбаум), подводный хребет в Северном Ледовитом океане, течение в Атлантическом океане.","Имя Ломоносова носят Московский государственный университет, город в Ленинградской области (до 1948 г. – Ораниенбаум), подводный хребет в Северном Ледовитом океане, течение в Атлантическом океане."
"Лица Иисуса, Девы Марии, святых, изображенные на иконах, принято называть ликами.","Лица святых на иконах, принято называть ликами. "
"С 1912 г. при МХТ стали создаваться студии для подготовки актёров, способных реализовать принципы нового театра. ","С 1912 г. при МХТ стали создаваться студии для подготовки актёров, которые способны реализовать принципы нового театра К.С. "
"Они получали имена по выбору родителей и, следовательно, праздновали только свой день рождения. ","Они получали имена по выбору родителей и, следовательно, праздновали только свой день рождения. "
"В честь Александра II назван минерал александрит, впервые найденный на Урале в день совершеннолетия будущего императора (1834 г.).","В честь Александра II назван минерал александрит, впервые найденный на Урале в день 18-летия будущего императора (1834 г.)."
"Это важный транспортный узел (5 железно-дорожных линий, 3 автотрассы, речная пристань, аэропорт). ",Это важный транспортный узел. 
Песня из фильма на стихи Г. ,Песня из фильма на стихи Г.Ф. 
"В эти годы была написана его «Исповедь», в которой писатель-философ размышлял о преобразовании общества путем религиозного и нравственного самоусовершенствования человека, всеобщей любви, непротивления злу насилием. ","В эти годы была написана его «Исповедь», в которой писатель-философ размышлял о преобразовании общества путём религиозного и нравственного самоусовершенствования человека, всеобщей любви, непротивления злу насилием. "
"Был восстановлен «Северный союз», боевые действия перешли в   Прибалтику. ","Был восстановлен «Северный союз», боевые действия перешли в Прибалтику. "
"Украшают зрительный зал хрустальные люстры, вышитый золотом занавес, роспись потолка, на котором изображены 9 муз – покровительниц разных видов искусства.","Украшают зрительный зал хрустальные люстры, вышитый золотом занавес, роспись потолка."
"Меньшова, «Покровские ворота» М.М. ","Меньшова, «Покровские ворота» М.М. "
Современное здание театра выстроено в стиле ампир. ,Современное здание Большого театра построено в стиле ампир. 
"Театральные постановки 1970-1980-х гг. были сделаны в парадоксальной сценической форме, поднимали острые вопросы современной жизни страны, что вызывало конфликты театра с Министерством культуры и запрещение ряда спектаклей («Живой» по повести Б.А. ",Это вызывало конфликты театра с Министерством культуры и запрещение ряда спектаклей («Живой» по повести Б.А. 
"По православной традиции, во время поста готовят постный борщ, без сала или мяса, только на подсолнечном масле, с грибами, иногда с рыбой.","По православной традиции, во время поста готовят постный борщ, без сала или мяса, только на подсолнечном масле, с грибами, иногда с рыбой."
"После неудачной попытки форсировать реку, потеряв большое количество воинов, монголо-татары отказались от переправы. ","После неудачной попытки форсировать реку, потеряв большое количество воинов, монголо-татары отказались от переправы. "
История российской армии отразилась в полотнах знаменитых художников ХIХ и ХХ вв. – В.В. ,История российской армии отразилась в полотнах знаменитых художников ХIХ и ХХ вв. − В.В. 
Иностранцы часто изменяли свои фамилии по русской модели. ,Иностранцы часто изменяли свои фамилии по русской модели. 
"Яна «Чингиз-хан», «Батый», «К «последнему морю»» (1939-1955 гг.).","Яна «Чингиз-хан», «Батый», «К «последнему морю»» (1939-1955 гг.)."
Придуманное преступниками зашифрованное название операции вынесено в заглавие новеллы и всего фильма. ,Придуманное преступниками зашифрованное название операции вынесено в заглавие новеллы и всего фильма. 
"Николай II и его семья были арестованы, а затем высланы в Тобольск, откуда предполагалось переправить всю царскую семью за границу. ","Николай II и его семья были арестованы, а затем высланы в Тобольск, откуда предполагалось переправить всю царскую семью за границу. "
Большой театр – символ русского музыкального искусства и всей культуры России. ,Большой театр – символ русского музыкального искусства и всей культуры России. 
"Аксёнова, посвящённому поэтам эпохи «оттепели».","Аксёнова, посвящённому поэтам эпохи «оттепели»."
В июне на Соловецких островах наступают белые ночи — день продолжается 21 час 56 минут. ,В июне на Соловецких островах наступают белые ночи — день продолжается 21 час 56 минут. 
«Девятый вал» – одно из самых драматичных произведений Айвазовского.,«Девятый вал» – одно из самых драматичных произведений Айвазовского.
"Здесь обыгрывается неразличение на слух того, что «И» в этом случае используется не в функции союза, а как название буквы.","Здесь обыгрывается неразличение на слух того, что «И» в этом случае используется не в функции союза, а как название буквы."
Даргомыжского) стали эталоном исполнения этих партий в русской оперной школе.,Даргомыжского) стали эталоном исполнения этих партий в русской оперной школе.
"Пьеса «Вишнёвый сад» написана Чеховым в 1903 г., в 1904 г. опубликована и поставлена. ","Пьеса «Вишнёвый сад» написана Чеховым в 1903 г., в 1904 г. опубликована и поставлена. "
"Отдельное жилое помещение в доме, состоящее из одной или нескольких комнат с кухней, передней, туалетом и ванной комнатой.","Отдельное жилое помещение в доме, состоящее из одной или нескольких комнат с кухней, передней, туалетом и ванной комнатой."
"Его все уважают и любят за силу, доброту и справедливость.","Его все уважают и любят за силу, доброту и справедливость."
Художественным руководителем Таганки в 2011-2013 гг. был В.С. ,Художественным руководителем Таганки в 2011-2013 гг. был В.С. 
"Умер Ломоносов в 1763 г. в Петербурге, похоронен на кладбище Александро-Невской лавры.","Умер Ломоносов в 1763 г. в Петербурге, похоронен на кладбище Александро-Невской лавры."
Так скажу: зачем мне орден?,Так скажу: зачем мне орден?
"Росси, театр работает с 1832 г. – именно тогда театр стал называться Александринским – в честь супруги императора Николая I Александры Фёдоровны. ",С этого времени до 1920 г. театр назывался Александринским – в честь императрицы Александры Фёдоровны – супруги Николая I. 
Советский государственный и партийный деятель.,Советский государственный и партийный деятель.
В наше время эта традиция сохраняется.,В наше время эта традиция сохраняется.
К столетию Октябрьской революции вышли на экраны фильмы «Демон революции» В.И. ,К столетию Октябрьской революции вышли на экраны фильмы «Демон революции» В.И. 
"Только в 1991 г. во время перестройки были опубликованы заметки писателя о революции и культуре, названные им «Несвоевременные мысли», в которых он предстал перед читателями сомневающимся в правильности многих политических решений большевиков и советской власти.","Во время перестройки были опубликованы заметки писателя о революции и культуре, названные им «Несвоевременные мысли», в которых он сомневался в правильности многих политических решений большевиков и советской власти."
"Архитектурные стили православного храма отличаются формой, материалами, отделкой, в соответствии с господствующими архитектурными стилями эпохи их строительства: византийским, древнерусским, барокко, классицизмом, псевдорусским и др.","Архитектурные стили православного храма отличаются формой, материалами, отделкой. "
"Год рождения театра – 1776 г., когда в Москве была организована первая профессиональная театральная труппа. ","Год рождения театра – 1776 г., тогда в Москве была организована первая профессиональная театральная труппа. "
"Современная русская азбука по составу, названиям и написанию букв соответствует нормам, принятым в 1918 г.","Современная русская азбука по составу, названиям и написанию букв соответствует нормам, принятым в 1918 г."
От фамилии Хлестаков образовано слово хлестаковщина. ,От фамилии Хлестаков образовано слово хлестаковщина. 
"Рязанова «Гусарская баллада», 1962 г.), Борис Захава (киноэпопея С.Ф. ","Рязанова «Гусарская баллада», 1962 г.), Борис Захава (киноэпопея С.Ф. "
В 1748 г. по предложению поэта В. ,В 1748 г. по предложению поэта В.К. 
Зима – одна из традиционных тем русского изобразительного искусства. ,Зима – одна из традиционных тем русского изобразительного искусства. 
"Версальского мирного договора, который завершил Первую мировую войну.",Версальского мирного договора.
В 1670-1671 гг. и в 1773-1775 гг. ,В 1670-1671 гг. и в 1773-1775 гг. 
Стали крылатыми слова А.С. ,Стали крылатыми слова А.С. 
Здесь сохранились постройки XI-XII вв. ,Здесь сохранились постройки XI-XII вв. 
Твоё достоянье на все времена!,Твоё достоянье на все времена!
"Алексеева, «Вербный базар на Красной площади» и «Парад на Красной площади в Москве 7 ноября 1941 года» К.Ф. ","Алексеева, «Вербный базар на Красной площади» и «Парад на Красной площади в Москве 7 ноября 1941 года» К.Ф. "
Обычный курортный роман семейных людей оборачивается для героев рассказа драмой всей их жизни.,Обычный курортный роман семейных людей для героев рассказа превращается в драму всей их жизни.
Однако большинство казаков (см. казак) не поддержали своего гетмана. ,Однако большинство казаков не поддержали своего гетмана. 
"Свой опыт работы с детьми он описал в книгах «Педагогическая поэма» (1935 г.), «Флаги на башнях» (1938 г.), в работах по педагогике.","Свой опыт работы с детьми он описал в книгах «Педагогическая поэма» (1935 г.), «Флаги на башнях» (1938 г.), в работах по педагогике."
"В центре чина обычно находится икона Ветхозаветной Троицы, на которой изображены три ангела, явившиеся Аврааму и Саре, чтобы сообщить о том, что у них родится сын Исаак.",В центре чина обычно находится икона Ветхозаветной Троицы.
"В последнее десятилетие жизни писателем были созданы повесть «Хаджи-Мурат» и пьеса «Живой труп», рассказы, среди которых – знаменитый рассказ «После бала».","В последнее десятилетие жизни писателем были созданы повесть «Хаджи-Мурат» и пьеса «Живой труп», рассказы, среди которых – знаменитый рассказ «После бала»."
"Это по−прежнему день проведения митингов и демонстраций, народных гуляний. ","Это по−прежнему день проведения митингов и демонстраций, народных гуляний. "
В результате сражения был сорван план Наполеона разгромить основные силы русской армии в генеральном сражении.,В результате сражения был сорван план Наполеона разгромить основные силы русской армии в генеральном сражении. 
"Вëдрами крестьяне (см. крестьянин) продают овощи и фрукты, прежде всего – картошку и яблоки (см. яблоко). ","Вëдрами крестьяне (см. крестьянин) продают овощи и фрукты, прежде всего – картошку и яблоки (см. яблоко)."
Действие развивается в русской интеллигентной (см. интеллигенция) семье Прозоровых. ,Действие проходит  в русской интеллигентной (см. интеллигенция)  семье Прозоровых. 
"Пушкин завершил работу над романом «Евгений Онегин» (1831 г.), много работал над прозаическими произведениями на темы русской истории ХVIII столетия. ","Пушкин завершил роман «Евгений Онегин» (1831 г.), много работал над прозаическими произведениями на темы русской истории ХVIII столетия. "
"По поводу исполнения женщине 40 и 45 лет существует поговорка: «В сорок лет − баба цвет, в сорок пять − баба ягодка опять». ","По поводу исполнения женщине 40 и 45 лет существует поговорка: «В сорок лет − баба цвет, в сорок пять − баба ягодка опять». "
"Военное детство было у тех, кто родился в конце 1920-х – начале 1940-х годов. ","Военное детство было у тех, кто родился в конце 1920-х – начале 1940-х годов. "
Изделия алтайских мастеров служили дипломатическими дарами России. ,Изделия алтайских мастеров служили дипломатическими дарами России. 
(Первые железные дороги появились в России при Николае  I).,(Первые железные дороги появились в России при Николае  I).
"; Мы все учились понемногу Чему-нибудь и как-нибудь…; Чем меньше женщину мы любим, тем легче нравимся мы ей; Что день грядущий мне готовит?",";  Мы все учились понемногу Чему-нибудь и как-нибудь...; Чем меньше женщину мы любим, тем легче нравимся мы ей; А счастье было так возможно; С корабля на бал."
"Спектакль по пьесе Чехова «Чайка» стал легендой МХТ, а чайка на занавесе театра (по рисунку архитектора Ф.О. ","Спектакль по пьесе Чехова «Чайка» стал легендой МХТ, а чайка на занавесе театра (по рисунку архитектора Ф.О. "
"Варламова «Не шей ты мне, матушка, красный сарафан», написанный в 1830-е гг. на слова Н.Г. ",Варламовым на слова Н.Г. 
"Зимой все носят теплую, часто меховую, одежду: шубы (см. шуба), шапки (см. шапка), варежки, теплые сапоги. ","Зимой все носят теплую, часто меховую, одежду: шубы (см. шуба), шапки (см. шапка), варежки, теплые сапоги. "
Васнецова: «Улица в Китай-городе. ,Васнецова: «Улица в Китай-городе. 
"В июне Лжедмитрий с войском вступил в Москву, и его провозгласили царем.",В июне Лжедмитрий вступил в Москву и занял русский престол.
"Тургенев обратился к изображению недавнего прошлого России, к «странностям» мышления и судьбы русского человека, независимым от «веяний времени».","Тургенев обратился к изображению недавнего прошлого России, к «странностям» мышления и судьбы русского человека, независимым от времени."
В ночь с 11 на 12 марта 1801 г. ,В ночь с 11 на 12 марта 1801 г. 
"Празднику посвящаются многие теле- и радиопередачи, концерты, вечера. ","Празднику посвящаются многие теле- и радиопередачи, концерты, вечера. "
"Поленова, «Грачи прилетели» А.К. ","Поленова, «Грачи прилетели» А.К. "
Эйзенштейна и «Ленин в Октябре» М.И. ,Эйзенштейна и «Ленин в Октябре» М.И. 
В художественной литературе образ Ивана Грозного создан М.Ю. ,В художественной литературе образ Ивана Грозного создан М.Ю. 
"Погодина «Человек с ружьем» (1937), пьесы М.Ф. ","Погодина «Человек с ружьем» (1937), пьесы М.Ф. "
Огромную роль в культурной жизни города играет Международный оперный фестиваль им. ,Огромную роль в культурной жизни города играют Международный оперный фестиваль им. 
"В 1820 г. он закончил большую поэму по мотивам народных сказок «Руслан и Людмила», которая принесла ему широкую известность. ","В 1820 г. он закончил большую поэму по мотивам народных сказок «Руслан и Людмила», которая принесла ему широкую известность. "
И поэтому знаю: со мной ничего не случится!,И поэтому знаю: со мной ничего не случится!
"Память о Куликовской битве сохранилась в исторических песнях, былинах, повестях, самые известные из них: «Задонщина» и «Сказание о Мамаевом побоище» (конец XIV – начало XV в.). ","Память о Куликовской битве сохранилась в исторических песнях, былинах, повестях, самые известные из них: «Задонщина» и «Сказание о Мамаевом побоище» (конец XIV – начало XV в.). "
"Ягоды или фрукты, сваренные в сахарном сиропе, традиционный русский десерт.","Ягоды или фрукты, сваренные в сахарном сиропе, традиционный русский десерт."
В последние годы главная пасхальная служба православной России проходит в Храме Христа Спасителя. ,В последние годы главная пасхальная служба России проходит в Храме Христа Спасителя. 
"За десять минут до полуночи по радио− и телевизионным программам транслируется поздравление народу России от руководства страны, в последние годы – Президента Российской Федерации. ","За десять минут до полуночи по радио− и телевизионным программам транслируется поздравление народу России от руководства страны, в последние годы – Президента Российской Федерации. "
"Это настоящий Плюшкин можно сказать о болезненно скупом человеке; Коробочкой могут назвать умственно ограниченную женщину, накопительницу, всю погружённую в хозяйство; Собакевичем – невежливого, грубого человека с сильным аппетитом и неуклюжестью медведя; Ноздрёвым – пьяницу и скандалиста; Чичиковым – предпринимателя-афериста.","Это настоящий Плюшкин можно сказать о болезненно скупом человеке; Коробочкой могут назвать умственно ограниченную женщину, накопительницу, всю погружённую в хозяйство; Собакевичем – невежливого, грубого человека с сильным аппетитом и неуклюжестью медведя;Ноздрёвым – пьяницу и скандалиста; Чичиковым – предпринимателя-афериста."
Фильм считается одной из лучших комедий советского кинематографа. ,Фильм считается одной из лучших комедий советского кинематографа. 
Часть из них навсегда осталась в России и сохранила свои фамилии – как немецкие предки академика О.Ю. ,Часть из них навсегда осталась в России и сохранила свои фамилии – как немецкие предки академика О.Ю. 
"В этот воскресный день состоялось шествие рабочих Петербурга к царю с требованиями 8−часового рабочего дня, повышения заработной платы, созыва Учредительного собрания, амнистии политзаключённых, свободы слова, печати, собраний, бесплатного народного образования. ","В этот воскресный день состоялось шествие рабочих Петербурга к царю с требованиями 8−часового рабочего дня, повышения заработной платы, созыва Учредительного собрания, амнистии политзаключённых, свободы слова, печати, собраний, бесплатного народного образования. "
В 1686 г. получил статус города.,В 1686 г. получил статус города.
Никулин («Песня про зайцев» (см. заяц)) и А. ,Никулин («Песня про зайцев» (см. заяц)) и А. 
В этих районах возникали новые города.,В этих районах возникали новые города.
Жители Поморья внесли огромный вклад в освоение Севера. ,Жители Поморья внесли огромный вклад в освоение Севера. 
"В нем выделяется 7 поясов растительности, от хвойных высокоствольных лесов (см. лес) до альпийских лугов и тундры. ","В нем выделяется 7 поясов растительности, от хвойных лесов (см. лес) до альпийских лугов и тундры. "
" У меня в Москве – купола горят,"," У меня в Москве – купола горят,"
(В современных исторических исследованиях используются также термины Древняя Русь и Древнерусское государство).,(В современных исторических исследованиях используются также термины Древняя Русь и Древнерусское государство).
После выхода в свет романа Тургенева «Дворянское гнездо» старые дворянские усадьбы стали называть дворянскими гнëздами.,После выхода в свет романа Тургенева «Дворянское гнездо» старые дворянские усадьбы стали называть дворянскими гнëздами.
"Создана в 1898 г., находится в Третьяковской галерее (см. ","Создана в 1898 г., находится в Третьяковской галерее (см. "
"Написана в июне 1941 г., через три дня после начала Великой Отечественной войны. ","Написана в июне 1941 г., через три дня после начала Великой Отечественной войны. "
Историческое название возвращено городу в 1992 г.,Историческое название возвращено городу в 1992 г.
"Островского («Не было ни гроша, да вдруг алтын», «Последняя жертва», «Поздняя любовь» и др.), «Война и мир» и «Анна Каренина» Л.Н. ","Островского («Не было ни гроша, да вдруг алтын», «Последняя жертва», «Поздняя любовь» и др.), «Война и мир» и «Анна Каренина» Л.Н. "
"Для людей старшего поколения он связан и с воспоминаниями о молодости, о Москве середины ХХ века.","Для людей старшего поколения он связан и с воспоминаниями о молодости, о Москве середины ХХ века."
«Последний день Помпеи» – самая известная картина в наследии художника. ,«Последний день Помпеи» – самая известная картина в наследии художника. 
"Советский Союз) эпоху должны были подчиняться строгим правилам поведения за границей; во фразе звучит насмешка над человеком, пытающимся говорить на иностранном языке, которого он не знает, и поэтому смешивает в одной фразе слова из итальянского, русского и немецкого языков; Наши люди в булочную на такси не ездят – иронично о слишком больших тратах, несовместимых с доходами человека; Видно в понедельник их мама родила – о людях, которым всегда и во всём не везёт; Детям – мороженое, его бабе – цветы. ","Советский Союз) эпоху должны были подчиняться строгим правилам поведения за границей; во фразе звучит насмешка над человеком, пытающимся говорить на иностранном языке, которого он не знает, и поэтому смешивает в одной фразе слова из итальянского, русского и немецкого языков; Наши люди в булочную на такси не ездят – иронично о слишком больших тратах, несовместимых с доходами человека; Видно в понедельник их мама родила – о людях, которым всегда и во всём не везёт; Детям – мороженое, его бабе – цветы. "
"На Северном Кавказе лето жаркое и продолжительное, а зима короткая и сравнительно мягкая. ","На Северном Кавказе лето жаркое и продолжительное, а зима короткая и сравнительно мягкая. "
"До сих пор комедию ценят за колоритный, социально-характерный язык персонажей и красочные бытовые сцены. ","До сих пор комедию ценят за колоритный, характерный язык персонажей и красочные бытовые сцены. "
В период с декабря 1900 г. по октябрь 1917 г. партийные организации большевиков выпускали свыше 300 газет и журналов. ,В период с декабря 1900 г. по октябрь 1917 г. партийные организации большевиков выпускали свыше 300 газет и журналов. 
Пырьева «Свинарка и пастух» (1941 г.) о любви русской девушки с Севера и дагестанца. ,Пырьева «Свинарка и пастух» (1941 г.) о любви русской девушки с Севера и дагестанца. 
"В фильме снимались Андрей Мягков, Барбара Брыльска, Юрий Яковлев, Александр Ширвиндт, Георгий Бурков, Александр Белявский и др.","В фильме снимались Андрей Мягков, Барбара Брыльска, Юрий Яковлев, Александр Ширвиндт, Георгий Бурков, Александр Белявский и др."
"В христианской традиции это один из главных праздников календаря, день Рождества Иоанна Крестителя, народное прозвище которого – Иван Купала (см. ","В христианской традиции это один из главных праздников календаря, день Рождества Иоанна Крестителя, народное прозвище которого – Иван Купала (см. "
"«за великую заслугу пред Москвою, которую он сделал средоточием художественного просвещения России, принесши в дар древней столице своё драгоценное собрание произведений русского искусства» Третьяков был удостоен звания «Почётный гражданин Москвы».",Третьяков был удостоен звания «Почётный гражданин Москвы».
"Германия объявила войну России, которая поддерживала Сербию и проводила всеобщую мобилизацию. ","Германия объявила войну России, которая поддерживала Сербию и проводила всеобщую мобилизацию. "
Слово большевиков сохранялось в названии партии при её следующих переименованиях: РКП (б) − с 1918 до 1925 г.; ВКП (б) − с 1925 до 1952 г. ,Слово большевиков сохранялось в названии партии при её следующих переименованиях: РКП (б) − с 1918 до 1925 г.; ВКП (б) − с 1925 до 1952 г. 
Праздник начинается вечером 31 декабря. ,Праздник начинается вечером 31 декабря. 
"Он совпадает с зимними школьными каникулами, и в эти дни все дети ходят на Ëлку – детский праздник. ","Он совпадает с зимними школьными каникулами, и в эти дни все дети ходят на Ëлку – детский праздник. "
В середине 1970-х гг. ,В середине 1970-х гг. 
«Дворянскими гнëздами» после Тургенева стали называть старые дворянские усадьбы.,«Дворянскими гнëздами» после Тургенева стали называть старые дворянские усадьбы.
Стилизация под хохлому используется художниками-иллюстраторами русских народных сказок. ,Стилизация под хохлому используется художниками-иллюстраторами русских народных сказок. 
